university,thCode,enCode
มหาวิทยาลัยอัสสัมชัญ,มอช.,ABAC
มหาวิทยาลัยอีสเทิร์นเอเชีย,มวอ.,
มหาวิทยาลัยเอเชียอาคเนย์,ม.อ.อ.,
สถาบันกันตนา,สกน.,
สถาบันการจัดการปัญญาภิวัฒน์,สจป.,
สถาบันการเรียนรู้เพื่อปวงชน,สรพ.,LIFE
สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สทญ.,TNI
สถาบันเทคโนโลยียานยนต์มหาชัย,สทม.,MIAT
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สทส.,SVIT
สถาบันเทคโนโลยีแห่งเอเชีย,สทอ.,AIT
สถาบันรัชต์ภาคย์,ส.รภ.,
สถาบันวิทยสิริเมธี,สวสธ.,
สถาบันวิทยาการจัดการแห่งแปซิฟิค,ส.ว.ป.,
สถาบันอาศรมศิลป์,อ.ศ.,
วิทยาลัยเฉลิมกาญจนาระยอง,วฉกร,
วิทยาลัยเชียงราย,วชร.,
วิทยาลัยเซนต์หลุยส์,ว.ซล.,
วิทยาลัยเซาธ์อีสท์บางกอก,ซ.อ.บ.,
วิทยาลัยดุสิตธานี,วดธ.,DTC
วิทยาลัยทองสุข,ว.ท.,
วิทยาลัยเทคโนโลยีจิตรลดา,วจด.,
วิทยาลัยเทคโนโลยีพนมวันท์,วทพ.,PCT
วิทยาลัยเทคโนโลยีภาคใต้,วทต.,SCT
วิทยาลัยเทคโนโลยีสยาม,วทส.,STC
วิทยาลัยนครราชสีมา,วนม.,NMC
วิทยาลัยนานาชาติราฟเฟิลส์,วนร.,RIC
วิทยาลัยนอร์ทเทิร์น,วนท.,NTC
วิทยาลัยบัณฑิตเอเซีย,ว.บ.อ.,
วิทยาลัยพิชญบัณฑิต,พญบ,
วิทยาลัยพุทธศาสนานานาชาติ,ว.พ.น.,
วิทยาลัยสันตพล,วสพ.,STC
วิทยาลัยแสงธรรม,วส.,
วิทยาลัยอินเตอร์เทคลำปาง,ว.อ.ท.,
มหาวิทยาลัยนราธิวาสราชนครินทร์,มนร.,PNU
มหาวิทยาลัยอุบลราชธานี,ม.อบ.,UBU
สถาบันเทคโนโลยีปทุมวัน,สปท.,PIT
มหาวิทยาลัยราชภัฏกาญจนบุรี,มร.กจ.,KRU
มหาวิทยาลัยราชภัฏเชียงราย,มร.ชร.,CRRU
มหาวิทยาลัยราชภัฏนครศรีธรรมราช,มร.นศ.,NSTRU
