university,thCode,enCode
มหาวิทยาลัยปทุมธานี,มปท.,PTU
มหาวิทยาลัยพายัพ,มพย.,PYU
มหาวิทยาลัยพิษณุโลก,มพล.,PLU
มหาวิทยาลัยฟาฏอนี,มฟน.,FTU
มหาวิทยาลัยฟาร์อีสเทอร์น,มฟอ.,FEU
มหาวิทยาลัยภาคกลาง,ม.ภก.,UCT
มหาวิทยาลัยภาคตะวันออกเฉียงเหนือ,มภน.,NEU
มหาวิทยาลัยรังสิต,มรส.,RSU
มหาวิทยาลัยรัตนบัณฑิต,มรบ.,RBAC
มหาวิทยาลัยราชธานี,มรธ.,RTU
มหาวิทยาลัยราชพฤกษ์,มรพ.,RPU
มหาวิทยาลัยวงษ์ชวลิตกุล,มว.,VU
มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),มวท.,WTUT
มหาวิทยาลัยเวสเทิร์น,มท.,WTU
มหาวิทยาลัยศรีปทุม,มศป.,SPU
มหาวิทยาลัยสยาม,มส.,SU
มหาวิทยาลัยหอการค้าไทย,มกค.,UTCC
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,มฉก.,HCU
มหาวิทยาลัยหาดใหญ่,มหญ.,HU
มหาวิทยาลัยอัสสัมชัญ,มอช.,ABAC
มหาวิทยาลัยอีสเทิร์นเอเชีย,มอท.,EAU
มหาวิทยาลัยเอเชียอาคเนย์,มออ.,SAU
สถาบันกันตนา,สก.,KI
สถาบันการจัดการปัญญาภิวัฒน์,สกป.,PIM
สถาบันวิทยาการจัดการแห่งแปซิฟิค,สวป.,PIMS
สถาบันการเรียนรู้เพื่อปวงชน,สรพ.,LIFE
สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สทญ.,TNI
สถาบันเทคโนโลยียานยนต์มหาชัย,สทม.,MIAT
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สทส.,SVIT
สถาบันเทคโนโลยีแห่งอโยธยา,สทอ.,ITA
สถาบันเทคโนโลยีแห่งเอเชีย,สทอ.,AIT
สถาบันรัชต์ภาคย์,สรภ.,RPI
สถาบันวิทยสิริเมธี,สวส.,VISTEC
สถาบันอาศรมศิลป์,สอศ.,ASIA
วิทยาลัยเฉลิมกาญจนาระยอง,วฉก.,CKC
วิทยาลัยเชียงราย,ว.ชร.,CRC
วิทยาลัยเซนต์หลุยส์,วซล.,SLC
วิทยาลัยเซาธ์อีสท์บางกอก,ว.ซอบ.,SBC
วิทยาลัยดุสิตธานี,วดธ.,DTC
วิทยาลัยทองสุข,วทส.,TSC
วิทยาลัยเทคโนโลยีจิตรลดา,วทจด.,CDTC
วิทยาลัยเทคโนโลยีพนมวันท์,วทพ.,PCT
วิทยาลัยเทคโนโลยีภาคใต้,วทต.,SCT
วิทยาลัยเทคโนโลยีสยาม,วทส.,STC
วิทยาลัยนครราชสีมา,วนม.,NMC
วิทยาลัยนานาชาติเซนต์เทเรซา,วนซท.,STIC
วิทยาลัยนานาชาติราฟเฟิลส์,วนร.,RIC
วิทยาลัยบัณฑิตเอเซีย,วบอ.,CAS
วิทยาลัยพิชญบัณฑิต,วพบ.,PCBC
วิทยาลัยพุทธศาสนานานาชาติ,วพน.,IBC
วิทยาลัยนอร์ทเทิร์น,วนท.,NTC
วิทยาลัยสันตพล,วสพ.,STC
วิทยาลัยแสงธรรม,วสธ.,STC
วิทยาลัยอินเตอร์เทคลำปาง,วอล.,LIT
สถาบันเทคโนโลยีพระจอมเกล้า,,
มหาวิทยาลัยนานาชาติศิรินสยาม,,
มหาวิทยาลัยบริติช (ประเทศไทย),,
วิทยาลัยบัณฑิตสกลนคร,,
วิทยาลัยพัฒนา,,
มหาวิทยาลัยโยนก,มยน.,YNU
มหาวิทยาลัยราชภัฏกาฬสินธุ์,มกส.,KSU
มหาวิทยาลัยราชภัฏนครพนม,,
วิทยาลัยรามาอโยธยา,,
วิทยาลัยเทคโนโลยีราชธานีอุดร,,
วิทยาลัยศรีโสภณ,ว.ศส.,SSC
วิทยาลัยศรีอีสาน (คณาสวัสดิ์อุทิศ),,
มหาวิทยาลัยอีสาน,ม.อส.,ESU
มหาวิทยาลัยเอเชียน,ม.เอเชียน,AsianU
มหาวิทยาลัยรัตนบัณฑิตวิทยาศาสตร์และเทคโนโลยี,มรวท.,RUST
มหาวิทยาลัยการกีฬาแห่งชาติ,,
มหาวิทยาลัยชุมพร,,
มหาวิทยาลัยตากสิน,,
มหาวิทยาลัยเทคนิคไทย-เยอรมัน ขอนแก่น หรือมหาวิทยาลัยเทคโนโลยีไทย-เยอรมัน ขอนแก่น,,
มหาวิทยาลัยนานาชาตินครแม่สอด,,
มหาวิทยาลัยน่าน,,
มหาวิทยาลัยพ่อหลวง หรือมหาวิทยาลัยประจวบคีรีขันธ์,,
มหาวิทยาลัยพระพุทธยอดฟ้าจุฬาโลก,,
มหาวิทยาลัยแพร่,,
มหาวิทยาลัยมุกดาหาร เฉลิมพระเกียรติ,,
มหาวิทยาลัยแม่ฮ่องสอน,,
มหาวิทยาลัยสุราษฎร์ธานี,,
มหาวิทยาลัยสุรินทร์,,
มหาวิทยาลัยหนองคาย,,
มหาวิทยาลัยอันดามัน,,
มหาวิทยาลัยอุดรธานี,,
สถาบันเทคโนโลยีจิตรลดา,,
